Date,AG,AI,AR,BE,BL,BS,FR,GE,GL,GR,JU,LU,NE,NW,OW,SG,SH,SO,SZ,TG,TI,UR,VD,VS,ZG,ZH,CH,AG_diff,AG_pc,AG_diff_pc,AI_diff,AI_pc,AI_diff_pc,AR_diff,AR_pc,AR_diff_pc,BE_diff,BE_pc,BE_diff_pc,BL_diff,BL_pc,BL_diff_pc,BS_diff,BS_pc,BS_diff_pc,FR_diff,FR_pc,FR_diff_pc,GE_diff,GE_pc,GE_diff_pc,GL_diff,GL_pc,GL_diff_pc,GR_diff,GR_pc,GR_diff_pc,JU_diff,JU_pc,JU_diff_pc,LU_diff,LU_pc,LU_diff_pc,NE_diff,NE_pc,NE_diff_pc,NW_diff,NW_pc,NW_diff_pc,OW_diff,OW_pc,OW_diff_pc,SG_diff,SG_pc,SG_diff_pc,SH_diff,SH_pc,SH_diff_pc,SO_diff,SO_pc,SO_diff_pc,SZ_diff,SZ_pc,SZ_diff_pc,TG_diff,TG_pc,TG_diff_pc,TI_diff,TI_pc,TI_diff_pc,UR_diff,UR_pc,UR_diff_pc,VD_diff,VD_pc,VD_diff_pc,VS_diff,VS_pc,VS_diff_pc,ZG_diff,ZG_pc,ZG_diff_pc,ZH_diff,ZH_pc,ZH_diff_pc,CH_diff,CH_pc,CH_diff_pc
2020-05-31,,,,11.0,0.0,,,2.0,,4.0,,,2.0,,,,,,,,32.0,,,22.0,,,205.0,,,,,,,,,,,7.2322363126640395e-06,,,0.0,,,,,,,,,1.3149520568480073e-06,,,,,,2.6299041136960146e-06,,,,,,,,,1.3149520568480073e-06,,,,,,,,,,,,,,,,,,,,,,,,2.1039232909568113e-05,,,,,,,,,1.4464472625328079e-05,,,,,,,,,0.00013478258582692076,
2020-06-01,,,,11.0,0.0,,,2.0,,4.0,,,2.0,,,,,,,,30.0,,,20.0,,,200.0,,,,,,,,,,0.0,7.2322363126640395e-06,0.0,0.0,0.0,0.0,,,,,,,0.0,1.3149520568480073e-06,0.0,,,,0.0,2.6299041136960146e-06,0.0,,,,,,,0.0,1.3149520568480073e-06,0.0,,,,,,,,,,,,,,,,,,,,,,-2.0,1.9724280852720108e-05,-1.3149520568480073e-06,,,,,,,-2.0,1.3149520568480072e-05,-1.3149520568480073e-06,,,,,,,-5.0,0.00013149520568480073,-3.2873801421200185e-06
2020-06-02,6.0,,,6.0,0.0,,,3.0,,4.0,,,2.0,,,,,,,,28.0,,,20.0,,,194.0,,3.9448561705440215e-06,,,,,,,,-5.0,3.944856170544022e-06,-3.287380142120018e-06,0.0,0.0,0.0,,,,,,,1.0,1.972428085272011e-06,6.574760284240036e-07,,,,0.0,2.6299041136960146e-06,0.0,,,,,,,0.0,1.3149520568480073e-06,0.0,,,,,,,,,,,,,,,,,,,,,,-2.0,1.84093287958721e-05,-1.3149520568480073e-06,,,,,,,0.0,1.3149520568480072e-05,0.0,,,,,,,-6.0,0.0001275503495142567,-3.944856170544022e-06
2020-06-03,,,,6.0,0.0,,,4.0,,4.0,,,2.0,,,,,,,,22.0,,,19.0,,,173.0,,,,,,,,,,0.0,3.944856170544022e-06,0.0,0.0,0.0,0.0,,,,,,,1.0,2.6299041136960146e-06,6.574760284240036e-07,,,,0.0,2.6299041136960146e-06,0.0,,,,,,,0.0,1.3149520568480073e-06,0.0,,,,,,,,,,,,,,,,,,,,,,-6.0,1.4464472625328082e-05,-3.944856170544022e-06,,,,,,,-1.0,1.249204454005607e-05,-6.574760284240036e-07,,,,,,,-21.0,0.00011374335291735262,-1.3806996596904078e-05
2020-06-04,7.0,,,6.0,0.0,,,4.0,,4.0,,,2.0,,,,,,,,20.0,,,20.0,,,175.0,3.0,4.602332198968026e-06,1.972428085272011e-06,,,,,,,0.0,3.944856170544022e-06,0.0,0.0,0.0,0.0,,,,,,,0.0,2.6299041136960146e-06,0.0,,,,0.0,2.6299041136960146e-06,0.0,,,,,,,0.0,1.3149520568480073e-06,0.0,,,,,,,,,,,,,,,,,,,,,,-2.0,1.3149520568480074e-05,-1.3149520568480073e-06,,,,,,,1.0,1.3149520568480072e-05,6.574760284240036e-07,,,,,,,2.0,0.00011505830497420063,1.3149520568480073e-06
2020-06-05,,,,5.0,0.0,,,4.0,,4.0,,,4.0,,,,,,,,19.0,,,20.0,,,173.0,,,,,,,,,,-1.0,3.2873801421200185e-06,-6.574760284240036e-07,0.0,0.0,0.0,,,,,,,0.0,2.6299041136960146e-06,0.0,,,,0.0,2.6299041136960146e-06,0.0,,,,,,,2.0,2.6299041136960146e-06,1.3149520568480073e-06,,,,,,,,,,,,,,,,,,,,,,-1.0,1.2492044540056071e-05,-6.574760284240036e-07,,,,,,,0.0,1.3149520568480072e-05,0.0,,,,,,,-2.0,0.00011374335291735263,-1.3149520568480073e-06
2020-06-06,,,,5.0,0.0,,,,,4.0,,,1.0,,,,,,,,16.0,,,20.0,,,162.0,,,,,,,,,,0.0,3.2873801421200185e-06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,2.6299041136960146e-06,0.0,,,,,,,-3.0,6.574760284240036e-07,-1.972428085272011e-06,,,,,,,,,,,,,,,,,,,,,,-3.0,1.0519616454784058e-05,-1.972428085272011e-06,,,,,,,0.0,1.3149520568480072e-05,0.0,,,,,,,-11.0,0.00010651111660468859,-7.2322363126640395e-06
2020-06-07,,,,5.0,0.0,,,,,3.0,,,1.0,,,,,,,,16.0,,,20.0,,,160.0,,,,,,,,,,0.0,3.2873801421200185e-06,0.0,0.0,0.0,0.0,,,,,,,,,,,,,-1.0,1.972428085272011e-06,-6.574760284240036e-07,,,,,,,0.0,6.574760284240036e-07,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,1.0519616454784058e-05,0.0,,,,,,,0.0,1.3149520568480072e-05,0.0,,,,,,,-2.0,0.00010519616454784058,-1.3149520568480075e-06
2020-06-08,6.0,,,3.0,0.0,,,5.0,,0.0,,,2.0,,,,,,,,15.0,,,20.0,,,138.0,1.0,3.9448561705440215e-06,6.574760284240036e-07,,,,,,,-2.0,1.972428085272011e-06,-1.3149520568480073e-06,0.0,0.0,0.0,,,,,,,0.0,3.287380142120018e-06,0.0,,,,-3.0,0.0,-1.972428085272011e-06,,,,,,,1.0,1.3149520568480073e-06,6.574760284240036e-07,,,,,,,,,,,,,,,,,,,,,,-1.0,9.862140426360054e-06,-6.574760284240036e-07,,,,,,,0.0,1.3149520568480072e-05,0.0,,,,,,,-22.0,9.07316919225125e-05,-1.446447262532808e-05
2020-06-09,,,,3.0,0.0,,,5.0,,0.0,,,2.0,,,,,,,,13.0,,,20.0,,,133.0,,,,,,,,,,0.0,1.972428085272011e-06,0.0,0.0,0.0,0.0,,,,,,,0.0,3.287380142120018e-06,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,1.3149520568480073e-06,0.0,,,,,,,,,,,,,,,,,,,,,,-2.0,8.547188369512049e-06,-1.3149520568480073e-06,,,,,,,0.0,1.3149520568480072e-05,0.0,,,,,,,-5.0,8.744431178039248e-05,-3.2873801421200185e-06
